TPT1_52,NA,NA,NA,NA,NA,NA,ENSMUST00000110894,30,ENST00000616577,33
COL1A2_15,NA,NA,NA,NA,NA,NA,ENSMUST00000031668,15,ENST00000297268,15
RPS24_45,NA,NA,NA,NA,ENSDART00000100813,42,NA,NA,ENST00000372360,42
DDX3X_654,NA,NA,NA,NA,NA,NA,ENSMUST00000000804,654,ENST00000625837,652
EIF4E_15,NA,NA,NA,NA,NA,NA,ENSMUST00000029803,15,ENST00000505992,15
SLC25A5_15,NA,NA,NA,NA,ENSDART00000105726,15,ENSMUST00000016463,15,NA,NA
GMPS_1113,NA,NA,NA,NA,NA,NA,ENSMUST00000029405,1113,ENST00000496455,1112
MED6_19,NA,NA,NA,NA,NA,NA,ENSMUST00000161211,19,ENST00000615788,21
YTHDC1_1551,NA,NA,NA,NA,ENSDART00000073671,1356,NA,NA,ENST00000579690,1522
ACAT2_636,NA,NA,NA,NA,ENSDART00000006778,630,ENSMUST00000007005,639,NA,NA
SPTAN1_1485,NA,NA,NA,NA,NA,NA,ENSMUST00000113719,1485,ENST00000630866,1483
ETFB_660,NA,NA,NA,NA,NA,NA,ENSMUST00000004729,387,ENST00000354232,657
TCP1_160,NA,NA,NA,NA,NA,NA,ENSMUST00000151287,136,ENST00000321394,138
PDIA3_231,NA,NA,NA,NA,ENSDART00000171137,96,ENSMUST00000028683,234,NA,NA
CDK7_21,NA,NA,NA,NA,NA,NA,ENSMUST00000091299,21,ENST00000256443,21
MTHFD2_123,NA,NA,NA,NA,NA,NA,ENSMUST00000005810,123,ENST00000394053,123
SURF4_564,NA,NA,NA,NA,NA,NA,ENSMUST00000015011,561,ENST00000371989,561
TCP1_168,YDR212W,168,NA,NA,ENSDART00000126038,156,ENSMUST00000151287,145,ENST00000321394,147
SF3B6_201,NA,NA,FBtr0077015,189,ENSDART00000017485,201,NA,NA,NA,NA
DCTN4_228,NA,NA,NA,NA,NA,NA,ENSMUST00000025505,228,ENST00000518015,57
MOCS2_73,NA,NA,NA,NA,NA,NA,ENSMUST00000166176,73,ENST00000396954,75
LPAR1_939,NA,NA,NA,NA,NA,NA,ENSMUST00000055018,939,ENST00000374431,939
RPS26_171,NA,NA,NA,NA,NA,NA,ENSMUST00000026420,171,ENST00000552361,173
ZC3HC1_416,NA,NA,NA,NA,ENSDART00000090837,393,ENSMUST00000080812,411,NA,NA
DDX42_1941,NA,NA,NA,NA,NA,NA,ENSMUST00000021046,1926,ENST00000389924,1926
SRP72_1947,NA,NA,FBtr0083911,1761,NA,NA,ENSMUST00000101087,1779,NA,NA
MAK16_90,YAL025C,87,NA,NA,NA,NA,ENSMUST00000033983,90,ENST00000360128,90
MRPS22_276,NA,NA,FBtr0085247,195,NA,NA,ENSMUST00000035034,276,NA,NA
TAF10_491,YDR167W,354,NA,NA,ENSDART00000099364,369,NA,NA,NA,NA
SAP30BP_476,NA,NA,NA,NA,NA,NA,ENSMUST00000140991,461,ENST00000584667,464
DDOST_404,NA,NA,NA,NA,NA,NA,ENSMUST00000030538,357,ENST00000375048,402
AMOT_1945,NA,NA,NA,NA,ENSDART00000114778,1848,NA,NA,ENST00000524145,1683
PSMD1_678,NA,NA,NA,NA,ENSDART00000159016,678,NA,NA,ENST00000308696,672
MAP2K6_519,NA,NA,NA,NA,ENSDART00000171268,519,ENSMUST00000020949,438,NA,NA
TARS_1380,NA,NA,NA,NA,NA,NA,ENSMUST00000022849,1278,ENST00000455217,1379
MTA1_1023,NA,NA,NA,NA,ENSDART00000045583,972,ENSMUST00000009099,1023,NA,NA
RPLP0_72,NA,NA,NA,NA,NA,NA,ENSMUST00000086519,72,ENST00000392514,69
LARS_3201,NA,NA,NA,NA,NA,NA,ENSMUST00000097590,3201,ENST00000394434,3195
FAT1_986,NA,NA,NA,NA,NA,NA,ENSMUST00000191428,986,ENST00000614102,981
MYH10_1398,NA,NA,NA,NA,NA,NA,ENSMUST00000092984,1371,ENST00000379980,1284
HNRNPLL_1079,NA,NA,NA,NA,NA,NA,ENSMUST00000184635,1079,ENST00000449105,932
MT-CO2_471,NA,NA,NA,NA,NA,NA,ENSMUST00000082405,471,ENST00000361739,471
RPLP0_609,NA,NA,FBtr0334113,609,NA,NA,ENSMUST00000086519,612,NA,NA
TMED9_180,NA,NA,NA,NA,ENSDART00000020582,144,ENSMUST00000109905,183,NA,NA
KARS_450,NA,NA,NA,NA,ENSDART00000162553,390,ENSMUST00000093120,432,NA,NA
SFXN1_18,NA,NA,NA,NA,NA,NA,ENSMUST00000021930,18,ENST00000321442,18
CHD8_2615,NA,NA,NA,NA,ENSDART00000013676,2439,ENSMUST00000089752,2226,NA,NA
CBFB_510,NA,NA,NA,NA,NA,NA,ENSMUST00000052209,510,ENST00000412916,510
PLIN3_24,NA,NA,NA,NA,NA,NA,ENSMUST00000019726,24,ENST00000221957,24
PGLS_252,NA,NA,NA,NA,NA,NA,ENSMUST00000034264,252,ENST00000252603,255
TM9SF3_90,NA,NA,FBtr0077127,90,ENSDART00000041609,75,NA,NA,NA,NA
NOP14_316,YDL148C,213,NA,NA,NA,NA,NA,NA,ENST00000416614,318
PRPF8_205,NA,NA,NA,NA,ENSDART00000134601,205,ENSMUST00000018449,186,NA,NA
EIF3H_504,NA,NA,NA,NA,NA,NA,ENSMUST00000022925,462,ENST00000276682,504
PSMC2_360,NA,NA,NA,NA,NA,NA,ENSMUST00000030769,360,ENST00000435765,233
PAICS_2790,NA,NA,NA,NA,NA,NA,ENSMUST00000031160,918,ENST00000399688,939
PDS5A_444,NA,NA,NA,NA,ENSDART00000159138,432,NA,NA,ENST00000303538,444
SMARCB1_999,NA,NA,NA,NA,NA,NA,ENSMUST00000000925,945,ENST00000344921,972
HEATR1_3690,NA,NA,NA,NA,ENSDART00000161063,3642,ENSMUST00000059270,3657,NA,NA
TRA2A_666,NA,NA,NA,NA,NA,NA,ENSMUST00000031841,573,ENST00000297071,582
AP3S1_144,NA,NA,NA,NA,NA,NA,ENSMUST00000025357,144,ENST00000316788,144
TUSC3_172,NA,NA,NA,NA,NA,NA,ENSMUST00000167992,172,ENST00000503731,170
